Pref,Class,Monthly,Lower,Upper,保険料_介護保険2号非該当_全額,保険料_介護保険2号非該当_折半額,保険料_介護保険2号該当_全額,保険料_介護保険2号該当_折半額
栃木,3,78000,73000,83000,7636,3818,8884,4442
栃木,4,88000,83000,93000,8615,4308,10023,5012
栃木,5,98000,93000,101000,9594,4797,11162,5581
栃木,6,104000,101000,107000,10182,5091,11846,5923
栃木,7,110000,107000,114000,10769,5384,12529,6264
栃木,8,118000,114000,122000,11552,5776,13440,6720
栃木,9,126000,122000,130000,12335,6168,14351,7176
栃木,10,134000,130000,138000,13119,6559,15263,7631
栃木,11,142000,138000,146000,13902,6951,16174,8087
栃木,12,150000,146000,155000,14685,7342,17085,8542
栃木,13,160000,155000,165000,15664,7832,18224,9112
栃木,14,170000,165000,175000,16643,8321,19363,9681
栃木,15,180000,175000,185000,17622,8811,20502,10251
栃木,16,190000,185000,195000,18601,9300,21641,10820
栃木,17,200000,195000,210000,19580,9790,22780,11390
栃木,18,220000,210000,230000,21538,10769,25058,12529
栃木,19,240000,230000,250000,23496,11748,27336,13668
栃木,20,260000,250000,270000,25454,12727,29614,14807
栃木,21,280000,270000,290000,27412,13706,31892,15946
栃木,22,300000,290000,310000,29370,14685,34170,17085
栃木,23,320000,310000,330000,31328,15664,36448,18224
栃木,24,340000,330000,350000,33286,16643,38726,19363
栃木,25,360000,350000,370000,35244,17622,41004,20502
栃木,26,380000,370000,395000,37202,18601,43282,21641
栃木,27,410000,395000,425000,40139,20069,46699,23349
栃木,28,440000,425000,455000,43076,21538,50116,25058
栃木,29,470000,455000,485000,46013,23006,53533,26766
栃木,30,500000,485000,515000,48950,24475,56950,28475
栃木,31,530000,515000,545000,51887,25943,60367,30183
栃木,32,560000,545000,575000,54824,27412,63784,31892
栃木,33,590000,575000,605000,57761,28880,67201,33600
栃木,34,620000,605000,635000,60698,30349,70618,35309
栃木,35,650000,635000,665000,63635,31817,74035,37017
栃木,36,680000,665000,695000,66572,33286,77452,38726
栃木,37,710000,695000,730000,69509,34754,80869,40434
栃木,38,750000,730000,770000,73425,36712,85425,42712
栃木,39,790000,770000,810000,77341,38670,89981,44990
栃木,40,830000,810000,855000,81257,40628,94537,47268
栃木,41,880000,855000,905000,86152,43076,100232,50116
栃木,42,930000,905000,955000,91047,45523,105927,52963
栃木,43,980000,955000,1005000,95942,47971,111622,55811
栃木,44,1030000,1005000,1055000,100837,50418,117317,58658
栃木,45,1090000,1055000,1115000,106711,53355,124151,62075
栃木,46,1150000,1115000,1175000,112585,56292,130985,65492
栃木,47,1210000,1175000,1235000,118459,59229,137819,68909
栃木,48,1270000,1235000,1295000,124333,62166,144653,72326
栃木,49,1330000,1295000,1355000,130207,65103,151487,75743
栃木,50,1390000,1355000,NA,136081,68040,158321,79160
群馬,1,58000,NA,63000,5690,2845,6618,3309
群馬,2,68000,63000,73000,6671,3335,7759,3879
群馬,3,78000,73000,83000,7652,3826,8900,4450
群馬,4,88000,83000,93000,8633,4316,10041,5020
群馬,5,98000,93000,101000,9614,4807,11182,5591
群馬,6,104000,101000,107000,10202,5101,11866,5933
群馬,7,110000,107000,114000,10791,5396,12551,6276
群馬,8,118000,114000,122000,11576,5788,13464,6732
群馬,9,126000,122000,130000,12361,6180,14377,7188
群馬,10,134000,130000,138000,13145,6573,15289,7645
群馬,11,142000,138000,146000,13930,6965,16202,8101
群馬,12,150000,146000,155000,14715,7358,17115,8558
群馬,13,160000,155000,165000,15696,7848,18256,9128
群馬,14,170000,165000,175000,16677,8338,19397,9698
群馬,15,180000,175000,185000,17658,8829,20538,10269
群馬,16,190000,185000,195000,18639,9320,21679,10840
群馬,17,200000,195000,210000,19620,9810,22820,11410
群馬,18,220000,210000,230000,21582,10791,25102,12551
